[2023-04-14T10:56:44+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:56:44+07:00"}
[2023-04-14T10:56:44+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:56:44+07:00","responseTime":"278 ms"}
[2023-04-14T10:56:44+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:44+07:00"}
[2023-04-14T10:56:44+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:44+07:00","responseTime":"4 ms"}
[2023-04-14T10:56:44+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:44+07:00"}
[2023-04-14T10:56:44+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:44+07:00","responseTime":"2 ms"}
[2023-04-14T10:56:51+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:51+07:00"}
[2023-04-14T10:56:51+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:51+07:00","responseTime":"3 ms"}
[2023-04-14T10:56:51+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:51+07:00"}
[2023-04-14T10:56:51+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:56:51+07:00","responseTime":"3 ms"}
[2023-04-14T10:57:31+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:57:31+07:00"}
[2023-04-14T10:57:31+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:57:31+07:00","responseTime":"84 ms"}
[2023-04-14T10:57:31+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:31+07:00"}
[2023-04-14T10:57:31+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:31+07:00","responseTime":"3 ms"}
[2023-04-14T10:57:31+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:31+07:00"}
[2023-04-14T10:57:31+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:31+07:00","responseTime":"2 ms"}
[2023-04-14T10:57:36+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:36+07:00"}
[2023-04-14T10:57:36+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:36+07:00","responseTime":"2 ms"}
[2023-04-14T10:57:36+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:36+07:00"}
[2023-04-14T10:57:36+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:57:36+07:00","responseTime":"3 ms"}
[2023-04-14T10:58:17+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:58:17+07:00"}
[2023-04-14T10:58:17+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:58:17+07:00","responseTime":"105 ms"}
[2023-04-14T10:58:17+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:17+07:00"}
[2023-04-14T10:58:17+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:17+07:00","responseTime":"2 ms"}
[2023-04-14T10:58:17+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:17+07:00"}
[2023-04-14T10:58:17+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:17+07:00","responseTime":"3 ms"}
[2023-04-14T10:58:21+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:21+07:00"}
[2023-04-14T10:58:21+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:21+07:00","responseTime":"3 ms"}
[2023-04-14T10:58:21+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:21+07:00"}
[2023-04-14T10:58:21+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:21+07:00","responseTime":"2 ms"}
[2023-04-14T10:58:25+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:25+07:00"}
[2023-04-14T10:58:25+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:25+07:00","responseTime":"3 ms"}
[2023-04-14T10:58:25+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:25+07:00"}
[2023-04-14T10:58:25+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:25+07:00","responseTime":"3 ms"}
[2023-04-14T10:58:52+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:58:52+07:00"}
[2023-04-14T10:58:52+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-14T10:58:52+07:00","responseTime":"81 ms"}
[2023-04-14T10:58:52+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:52+07:00"}
[2023-04-14T10:58:52+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/auth/authtoken","time":"2023-04-14T10:58:52+07:00","responseTime":"3 ms"}
