[2023-04-12T11:09:23+07:00] | {"tag":"REQ","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-12T11:09:23+07:00"}
[2023-04-12T11:09:23+07:00] | {"tag":"RES","from":"::1","method":"POST","endpoint":"/api/auth/admin/login","time":"2023-04-12T11:09:23+07:00","responseTime":"245 ms"}
[2023-04-12T12:17:51+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:17:51+07:00"}
[2023-04-12T12:17:51+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:17:51+07:00","responseTime":"64 ms"}
[2023-04-12T12:18:04+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:04+07:00"}
[2023-04-12T12:18:04+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:04+07:00","responseTime":"5 ms"}
[2023-04-12T12:18:05+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:05+07:00"}
[2023-04-12T12:18:05+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:05+07:00","responseTime":"3 ms"}
[2023-04-12T12:18:06+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:06+07:00"}
[2023-04-12T12:18:06+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:06+07:00","responseTime":"2 ms"}
[2023-04-12T12:18:06+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:06+07:00"}
[2023-04-12T12:18:06+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:06+07:00","responseTime":"3 ms"}
[2023-04-12T12:18:07+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:07+07:00"}
[2023-04-12T12:18:07+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:07+07:00","responseTime":"3 ms"}
[2023-04-12T12:18:07+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:07+07:00"}
[2023-04-12T12:18:07+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:07+07:00","responseTime":"4 ms"}
[2023-04-12T12:18:08+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:08+07:00"}
[2023-04-12T12:18:08+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:08+07:00","responseTime":"4 ms"}
[2023-04-12T12:18:21+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:21+07:00"}
[2023-04-12T12:18:21+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:21+07:00","responseTime":"62 ms"}
[2023-04-12T12:18:22+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:22+07:00"}
[2023-04-12T12:18:22+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:22+07:00","responseTime":"6 ms"}
[2023-04-12T12:18:23+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:23+07:00"}
[2023-04-12T12:18:23+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:23+07:00","responseTime":"3 ms"}
[2023-04-12T12:18:23+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:23+07:00"}
[2023-04-12T12:18:23+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:23+07:00","responseTime":"4 ms"}
[2023-04-12T12:18:24+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:24+07:00"}
[2023-04-12T12:18:24+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-all-data","time":"2023-04-12T12:18:24+07:00","responseTime":"3 ms"}
[2023-04-12T12:22:19+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:19+07:00"}
[2023-04-12T12:22:19+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:19+07:00","responseTime":"5 ms"}
[2023-04-12T12:22:20+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:20+07:00"}
[2023-04-12T12:22:20+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:20+07:00","responseTime":"3 ms"}
[2023-04-12T12:22:21+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:21+07:00"}
[2023-04-12T12:22:21+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:21+07:00","responseTime":"3 ms"}
[2023-04-12T12:22:21+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:21+07:00"}
[2023-04-12T12:22:21+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:21+07:00","responseTime":"4 ms"}
[2023-04-12T12:22:22+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:22+07:00"}
[2023-04-12T12:22:22+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:22+07:00","responseTime":"4 ms"}
[2023-04-12T12:22:23+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:23+07:00"}
[2023-04-12T12:22:23+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:23+07:00","responseTime":"2 ms"}
[2023-04-12T12:22:23+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:23+07:00"}
[2023-04-12T12:22:23+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:22:23+07:00","responseTime":"3 ms"}
[2023-04-12T12:25:57+07:00] | {"tag":"REQ","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:25:57+07:00"}
[2023-04-12T12:25:57+07:00] | {"tag":"RES","from":"::1","method":"GET","endpoint":"/api/products/admin/get-specified-data/1","time":"2023-04-12T12:25:57+07:00","responseTime":"2 ms"}
